txn_id,account_id,day,amount,tx_type,merchant_category,city,risk_score
100045,50104,4,19300,debit,groceries,Moscow,44
100012,50077,2,8400,credit,salary,Kazan,12
100093,50198,7,27700,transfer,online,Sochi,71
100006,50015,1,5100,debit,transport,Perm,28
100118,50203,9,32200,cash_out,electronics,Omsk,79
100031,50092,3,11600,debit,cafe,Tula,37
100082,50157,6,24500,transfer,utilities,Tomsk,63
100024,50081,2,9800,credit,salary,Moscow,19
100067,50131,5,21400,debit,pharmacy,Kazan,52
100101,50188,8,28900,cash_out,online,Sochi,74
100038,50099,3,12400,debit,groceries,Perm,41
100055,50111,4,20100,transfer,transport,Omsk,56
100014,50028,1,7600,credit,salary,Tula,16
100089,50162,7,26100,debit,utilities,Tomsk,66
100109,50195,9,30100,cash_out,electronics,Moscow,77
100049,50107,4,18700,debit,cafe,Kazan,48
100073,50140,6,22900,transfer,online,Sochi,60
100019,50060,2,9100,credit,salary,Perm,22
100097,50171,8,27300,cash_out,pharmacy,Omsk,72
100042,50100,3,13200,debit,groceries,Tula,39
100061,50123,5,20800,transfer,transport,Tomsk,58
100027,50087,2,10300,credit,salary,Moscow,25
100085,50155,7,25200,debit,utilities,Kazan,64
100113,50201,9,31500,cash_out,electronics,Sochi,78
